company_name,job_title,job_role,job_requirement,salary
SOFRA INTERNATIONAL FOOD PTE LTD,General Manager,"The Managing Director/General Manager/Vice-President has the responsibility to steer the organisation to achieve excellence in a globalised environment and ensures Organisational Succession Planning. He/She develops business and professional networks to foster an atmosphere of inclusiveness with diverse external stakeholders and the global business community.  In addition, the Managing Director/General Manager/Vice-President directs plant operations and provides leadership to departmental managers to ensure the organisational objectives are accomplished in a timely and cost effective manner.  The Managing Director/General Manager/Vice-President also formulates and recommends ideas and directions to drive changes in an organisation while maintaining a culture of innovativeness to sustain value creation in meeting the competitive position and long term objectives of the organisation. He/She mentors and develops talents as future leaders.","~ Act as mentor to develop talents. ~ Challenge new ideas while actively balances risks and opportunities. ~ Champion the adoption of lean manufacturing for the organisation. ~ Develop and strengthen relations on executive management. ~ Develop business and professional networks. ~ Drive value-creation and meet the long term objectives of the organisation. ~ Formulate business ideas and directions to drive change in the organisation. ~ Foster an atmosphere of inclusiveness with diverse external stakeholders and the global business community. ~ Innovate and create an environment that encourages innovation. ~ Lead organisational succession planning, capability development and employee engagement. ~ Maintain a culture of innovative thinking and practices. ~ Steer the organisation to achieve excellence in a globalised environment. ~ Fluent English and Turkish for coordinating between directors and cheefs  ~ Have a good experience of Turkish Authentic cousine and  able to represent Turkish culture and hospitality.","$6,500 - $7,000"
OFFICE SECRETARIES PTE. LTD.,Account Assistant,"Our client, an Europe MNC - the world's leading mail delivery services providers has immediate vacancies – Accounts Assistant (Location : Kaki Bukit, Permanent position, Salary Range : 2.5K to 3.5K per month + AWS + VB etc) Job Responsibilities: - •             Perform general accounting duties •             Handle billing, collection and maintain customers contracts and rate cards •             Arrange payment and maintain vendor records & contracts •             Assists in month end closing •             Assists in ad hoc projects and tasks when required","Requirements: - •             Diploma in Accountancy •             At least 3 years' accounting experience •             Willing to learn how to handle full set of accounts •             Mature, independent and self-motivated •             Willing to work overtime and meet deadlines •             Proficient in MS Excel and MS Word •             Experience Navision is an advantage but not a prerequisite •             Good command of English and Mandarin   HOW TO APPLY :  Interested applicants, please submit your updated resume & a recent photo in MS Word format to : hockkeng@officesecretaries.com.sg Please state your availability, current & expected salaries for processing purpose. All applications will be treated in the strictest confidence. We regret that only shortlisted candidates will be notified.","$2,400 - $3,200"
SHOWSUITE PTE. LTD.,Senior Mobile App Developer (Android),"  The Senior Mobile Developer's Profile   Showsuite is looking for someone who is dynamic and has an entreprenuerial spirit with good intuition, good coding skills, disciplined and is willing to make the pro-active improvements and willing to learn new skills and assist the mobile team to continually develop our products.    The Senior Mobile Developer's Responsibilities   The Senior Mobile Developer will need ot be someone who is familiar and versatile with the respective native coding languages (we believe in native coding practice), great at implementing UI design (including a lot of custom UI works), and integration of API services. The Senior Mobile Developer will also be responsible for his/her own bug fixes and quick remedies when issues are found and need to constantly upgrade the platform to keep up with user requirement and device requirement. Must be a team player and able to work with tight deadlines.     Design and development of mobile applications using Android. Design, code and modify mobile backend applications and services/APIs using the best software development practices Facilitate the troubleshooting and resolving of pre and post-production issues Assist with various stages of the mobile backend application development lifestyle such as requirements gathering, architecture/infrastructure and custom UI design and integration Keep abreast of the latest in mobile UI and backend technology and conduct research and prototyping using such technologies Responsible for Updates/Uploading, bug fixing and management of the respective apps.  Required Skills  Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent. Preferably with at least 5-8 years of overall experience (or unless you are a super coder) with mobile development (pay grade depends on experience and skill level) Minimum 4-5 years of hands-on experience in Android Native Development Hands-on experience with SQL and web service integration (JSON,XML,SOAP) Experienced in developing and implementing mobile backend applications or APIs/services. Experience in various aspects of application development (application structure, device and operating system API’s, debugging, performance, security) and deployment. Strong in programming design & skills Familiarity with continuous integration, code deployment software, workflows and source management tools (GitHub) Knowledge of cross-platform development (Android, web) will be an advantage Able to work independently as well within a team Must be analytical, self-driven and pro-active in keeping with new technologies and programming languages. Experience in Object orientated design and system architecture for mobile backend applications/services (iOS). Required language(s): English (spoken/written) ","~ Assess, develop, upgrade and document maintenance procedures for the company's Android product(s). ~ Consults with development team to evaluate issues and bug fixes. ~ Implement UI and develop Android apps. ~ Modify existing app to correct errors and adapt to new requirements. ~ Research, analyse and evaluate requirements for the app. ~ Upgrade interfaces to improve performance.","$5,000 - $7,000"
OVERSEA-CHINESE BANKING CORPORATION LIMITED,"Senior Analyst for Risk Portfolio Management, Integrated Risk Assessment","The successful candidate will be a key member of a team with responsibilities covering the following areas:  •        Enhancement of the Group’s internal risk capital assessment, including the assessment of concentration and emerging risks  •        Review of the Group’s risk appetite and the progressive rollout to key businesses  •        Work with key stakeholders e.g. business units and Group Finance on portfolio management / assessment initiatives  •        Conduct stress test as well as enhancement of methodology and approach  •        Enhancement of the Group’s internal risk capital assessment and sector/country concentration risk framework  •        Perform independent validation of internal credit risk rating models to assess that the models are fit for purpose  ","·         Strong analytical, quantitative and computational skills    ·         Good understanding of risk management concepts, e.g. Basel II or other risk types such as market risk and ALM    ·         Able to multi-task in a complex and changing environment    ·         A team player as well as able to work independently    ·         Strong working knowledge of Microsoft Office applications","$8,000 - $12,000"
SHALOM INTERNATIONAL MOVERS PTE. LTD.,Administrative Executive," Undertake the task of receiving calls, taking messages, and reouting correspondances. Handle requests and queries appropriately. Produce reports, presentations, and briefs. Day to Day operations of the department. Organizing and maintaining files and records. Providing quality customer service. Other duties as assigned. "," Able to multi-task and work in a fast pace environment. Self-driven, excellent communication and interpersonal skills. ","$1,800 - $2,500"
E-BRIDGE PRE-SCHOOL PTE. LTD.,Cleaner, Maintain cleanliness and hygiene in the school Prepare meals for children and centre staff in the absence of cook ,At least 2 years of cleaning experience in Childcare Centre,"$1,000 - $1,500"
E-BRIDGE PRE-SCHOOL PTE. LTD.,Payroll Assistant,"Job Role & Responsibilities  Responsible for timely and accurate processing of monthly payroll via Sage Software System. Responsible to administer and maintain zero downtime of the E-Portal system to ensure optimum utilization by employees in the company. Remain informed at all times of new MoM, Statutory Acts & legislations which may affect employees’ benefits and compensation, and which might need reporting to management. Responsible for the entire on-boarding process of new employees including managing and implementing the induction program and training for new employees Ensure that the off-boarding process is administered meeting statutory requirement and according to Company’s policy and in a timely manner Maintain the employee’s database and achieve the target set for key HR metrics and indicators        We offer a competitive remuneration package plus benefits to the right candidate. Successful candidates will have opportunity for course sponsorship for further upgrading.  Suitably qualified applicants are invited to send your updated resume in MS Word to us via APPLY button.   Please include cover application letter and detailed CV with current and expected salary, and copies of qualifications and testimonials. On appointment original copies must be provided for verification.","Job Requirements  Candidate must possess at least a Diploma in HRM / HRD / Business Administration. Entry level candidates are welcome to apply. Familiar with Sage payroll is preferred. Meticulous, analytical and eye for details. Excellent verbal and written communication skills and able to communicate with employees of all levels including ancillary staff. Proven ability to work independently in a multi-tasking and fast paced environment, with strong work ethics and capacity for hard work. ","$2,000 - $3,500"
"JPMORGAN CHASE BANK, N.A.","Human Resources, Recruitment Coordinator, APAC Lateral Recruiting","About J.P. Morgan JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2 trillion and operations in more than 60 countries. The firm is a leader in investment banking, financial services for consumers, small business and commercial banking, financial transaction processing, asset management, and private equity.   About APAC Lateral Recruiting JP Morgan Lateral Recruiting takes a proactive approach to identifying and proposing solutions to organizational challenges, working side-by-side with business managers to attract, engage, manage and retain high-potential talent. Through a focus on continuous improvement and long-term success, JP Morgan Recruiting provides tactical and strategic solutions with the aim of attracting and hiring diverse professionals to the business.    About Recruitment Coordination:  Recruitment Coordinators play a key role in the success of the lateral Recruiting team by ensuring all operational processes are delivered in an effective, efficient and timely manner.  With the majority of interview scheduling and offer letter creation being managed by our Service Center in the Philippines, the onsite Recruitment Coordinators will focus on providing exceptional client service and cross-functional support to the APAC Lateral Recruiting team and Business in Singapore as well as other countries in the APAC region, where required.    The role:   You will join the APAC Recruitment Coordination team and be responsible for:   Project & Change Management   Contribute to projects impacting the Regional Lateral Recruiting function   Input and advise on the development of policies and processes   Play a key part in ensuring relationships are built and maintained between onshore and offshore locations     Control & Risk Management    For all systems used in the recruitment process, ensure that data integrity is monitored and maintained   Ensure that all Risk & Control incidents are flagged and escalated   Contribute to any Risk & Control related project or mitigation, as required     Offer & Onboarding    Act as the offer letter maker or checker, as required   Ensure offer and related compensation information is captured in the relevant compensation systems and HR systems in a timely fashion   Partner closely with Local HR and Regional Onboarding teams to ensure that all offers are completed seamlessly and necessary documentation is collated   Initiate the onboarding and pre-employment screening process for new hires, working closely with pre-employment screening team and service delivery colleagues   In partnership with Recruiters, interact with new hires to review paperwork and answer questions related to the on-boarding process   Manage the work permit application process in partnership with our immigration advisor     General    Assist recruiters in ensuring all referrals are correctly recorded and tracked in systems   Support the Fixed Term Contract extension process   Be a subject matter expert (SME) on Taleo and the configuration of other technology platforms supporting recruiting in the APAC region   SME for the recruiting process in the APAC region   Support Regional HR, where required, with regulatory reporting requests   Track, validate and send any recruiting relating invoices for payment   Trigger payment of referral, sign-on, notice buyout payments   Be responsible for sharing best practice and guiding the offshore teams     Interview Coordination   Provide exceptional interview coordination services to Managing Director and Human Resources candidates as well as situations where country specific language skills are required.   Where required, provide a ‘white glove’ service; greeting candidates and ensuring facilities are correctly set up (telepresence, video call testing etc)   Support the offshore interview coordination function       Skills & Competencies   Strong Microsoft Office skills (Word, PowerPoint & Excel) with experience in creating management reports and presentations   Excellent senior stakeholder and candidate management skills   Takes a proactive approach by identifying and owning issues through to resolution   Time management skills coupled with the ability to organize and prioritize in a fast paced environment are essential   Excellent verbal and written communication skills in English   Fluency in Mandarin, Cantonese or Japanese highly advantageous.  Other languages from the APAC region beneficial.   Ability to deliver results / meet deadlines under pressure   Knowledge and experience of Taleo / Candidate Management System is essential    ","  Undergraduate degree, equivalent professional qualification or relevant experience   Prior experience of working as part of a Recruiting team within in the Financial Services sector is preferred       JPMorgan offers an exceptional benefits program & highly competitive compensation package. JPMorgan is an Equal Opportunity Employer","$3,000 - $6,000"
A*STAR RESEARCH ENTITIES,"Laboratory Officer (ARTC,A*STAR)","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg  Tag assets Conduct periodic physical inventory sighting of fixed assets Facilitate and witnessing disposal Facilitate transfers Asset Manager set invoices up for advance payment monitor accounts to ensure payments are up to date research and resolve invoice discrepancies and issues correspond with vendors and respond to inquiries provide supporting documentation for audits filling and archiving of all documents for 5 years   ", Diploma required  minimum of 1 year experience Proficient in SAP ERP Proficient in MS Office    The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.,"$1,900 - $3,800"
CREDIT SUISSE AG,Full Stack Developer #116982,"Full Stack Developer #116982 Credit Suisse Company Overview As one of the world's leading financial services group, Credit Suisse provides its clients with investment banking, private banking and asset management services worldwide.  Founded in 1856, Credit Suisse has a long tradition of meeting the complex financial needs of a wide range of clients, offering advisory services, comprehensive solutions and innovative products to companies, institutional clients and high-net-worth private clients globally. The Credit Suisse Group is active in over 50 countries and employs approximately 46,000 people.  Further information can be found at www.credit-suisse.com. Further information can be found at www.credit-suisse.com We Offer…      Department Overview: The APAC Technology and Change organization is responsible for the engineering and support of technology solutions, implementation of change programs, and the associated change, design and data governance for the APAC Division. The organization includes APAC Private Banking (PB) IT and Global Markets (GM) IT. APAC PB IT provides digital capabilities and technology solutions for the APAC Private Banking business, delivering front to back aligned, high quality IT solutions and services to support the growth and profitability of the Bank, ensure compliance, drive efficiency and further reduce complexity and cost. Our Digital Private Bank was launched in Asia in 2015 and has won numerous accolades. We have been awarded the ""Best Private Bank – Digital Experience"" for the second consecutive year by Asian Private Banker applauding us for being ""a true fintech pioneer in the private banking space"" and for our attention to client experience and the platform's advanced functionalities. Role Description: A number of new and exciting projects have been initiated within APAC PB IT, enabling you to directly contribute to the success of the business. Naturally, project details are commercially-sensitive but all our projects exhibit the following common features:   Significant engagement with product owners and user-interaction   Technical autonomy and innovation   Highly motivated and engaged development teams   High quality and commercial benefits   As an agile application developer you will work together with business users and members of the development team to provide quality systems that improve productivity, decrease operational risk, enable the business to expand and make users smile. These are high profile applications that offer you the opportunity to shape the future technical direction and take ownership for functional components. Role Responsibility:   Design, develop, test, deploy and support high quality systems.   Become a strategic part of the CS business by building positive relationships with all business partners, understanding the challenges they face and using your technical expertise to deliver the systems we need.   Collaborate with the Product Owner closely to deliver solutions and to build user-centric banking applications for use by Clients/Relationship Managers/Support functions around the world.   Understand the different technology domains within the Bank and how the data across domains is interrelated.   Constantly analyze and improve the performance and quality of the product and team.   Be willing and able to adapt to changes in priorities and requirements.   Remain open and alert to new technology opportunities.  ","You Offer… We have a preference for the following knowledge and experience:   Expertise with Java or any other JVM-based language   Expertise with SQL, RDBMS design and optimization   Expertise in JavaScript full stack development (e.g. React and Node.js)   Expertise with HTML5 and CSS3   Expertise with JUnit, TestNG or any other test framework   Strong knowledge of HTTP and (REST) API design   Working knowledge of MongoDB or other NoSQL databases   We expect these qualifications and work experience:   Your Degree in Computer Science, Mathematics, Computer Engineering or related discipline is preferred but not required.   You have significant work experience in commercial software development, full stack web frameworks and exposure to more recent technologies.   You have theoretical foundations as well as practical experience designing and implementing distributed systems.   You should have a real passion for and experience of Agile working practices like Scrum, with a strong dream to work with baked-in quality disciplines such as TDD, BDD, test automation and DevOps principles.   You have attested ability to work well in delivering complex systems in a dynamic changing environment.   You have the ability to develop intuitive and robust user interfaces which improves user experience.   We value these characteristics:   Pragmatism. You have a deep understanding of, and are highly informed by, the purist approaches. You also have an understanding of what it takes to deliver working software.   Completion. Delivery. Shipping working software with high usability to our customers is what matters most. Your biggest thrill from a big new idea comes when you see it working in the real world.   Collaboration. Building software is primarily a social activity so you will play well with others. Determining the right thing for the team to do is not about winning a debate at all costs.   Diversity. You value everyone's ideas, background, thoughts and culture.   Curiosity. You like to learn. You continually, and deliberately, learn.   Passion. You are passionate about software. You live and breathe software. It is not just a job, it is a way of life.   Credit Suisse is an Equal Opportunity Employer and does not discriminate in its employment decisions on the basis of any protected category. ","$11,600 - $20,833"
KERRY CONSULTING PTE. LTD.,Finance Manager – Professional Service Industry,"• Management and financial reporting • Reporting directly to CEO • Flexible working arrangement possible  This is an established professional service company with its headquarter in Singapore. Due to continuous business need, the company is looking to hire a Finance Manager. This is a sole contributor role.  Reporting directly to the CEO, the Finance Manager will be responsible for managing full set of accounts, statutory reporting, analyzing monthly variances, preparing budgets and forecast, tax filing, monitoring of cash flow and be involved in external audit. Due to the lean business model, the Finance Manager will also be involved in general admin and HR matters.  ","The successful candidate will have a tertiary / ACCA education in accounting or finance discipline with at least 5 years of working experience. Working in a fast pace and dynamic environment, you will be meticulous, hands-on, proactive and possess good interpersonal skill. Being a self-starter, you will challenge status quo and be creative in providing analysis on management reporting.  To apply, please submit your resume (in word format) to Alsa Chia at AL@kerryconsulting.com, quoting the job title and reference number AL14018. Only successful shortlisted candidates will be notified.  Licence No: 16S8060 Registration no: R1765623    Type of Work: Permanent Region: Singapore Licence No: 16S8060",None
SEPHORA DIGITAL SEA PTE. LTD.,Full Stack Engineer - Sales Engine Squad,"Sephora Digital’s Technology team builds products that power our business across South East Asia & Oceania. We are looking for an Engineer to join a small team (we call it a squad) which is responsible for building products and features around cart, checkout and payments for our website & apps. This includes functional areas such as payments across 8 different markets, address selection, Cart funnels, related UI/UX enhancements. This is a new position in the team as we increase our capacity to deliver an ambitious roadmap. What you will do: You will be designing features, building clean, highly scalable systems, managing complex integrations for cart and checkout pages for our multi-tenant in-house build e-commerce engine. You make it possible for us to deliver an engaging customer experience to our many fans, and ensure that the online store remains our flagship in South East Asia. Reporting to Principal Engineer you will work on highly visible, well resourced projects and build products which directly impact our revenue and customer satisfaction - two of our key metrics for success. This is a great platform for an ambitious engineer with excellent technical skills to start a career with Sephora, the leading omni-channel retailer in SEA. You will be working on technology products relating to: ● Managing accuracy of customer information ● Innovation and integrations with payments ● Optimizing the checkout funnel to reduce abandonment and improve click through rate ● Improving parcel delivery lead times And as part of the company’s vision, work towards the goal of providing our customers with a seamless omnichannel experience.","- You are interested to use technology to improve and drive the business forward - You are willing to be involved in end-to-end software development, including gathering of requirements and understanding of pain points from various stakeholders - You value core software engineering practices (i.e. Testing, Scalability, Clean code) - You have demonstrated experience in designing and building scalable, adaptable APIs - You are capable to building engaging front-end and user experiences - You enjoy constantly learning, independent, not afraid of making mistakes along the way and learning from them - You are a team player and willing to communicate with the other teams in the company (Product Managers, UI / UX Designers, and more importantly fellow engineers locally and abroad)   We work with Ruby on Rails / Javascript / Git and write tests on a daily basis. Experience with these technologies and tools are desired but not an absolute requirement. You probably have a computer science degree, but passion and demonstrated expertise are what we care about.  If you are passionate, and have an expectation of excellence, you will enjoy working with our technology team, who maintain a highly flexible and innovative start up culture whilst benefiting from the resources of Sephora in Southeast Asia.","$5,000 - $6,000"
PINSENT MASONS MPILLAY LLP,Managing Knowledge Engineer  /  Senior Systems Engineer," Raising the profile of SmartDelivery including undertaking demos (internal and external), presenting at meetings and generally increase awareness of SmartDelivery within the APAC region. Undertaking Knowledge Engineering projects including (but not limited to): 	 the creation of a SOP toolkit for Singapore process mapping the IPO (Initial Public Offering) process in Hong Kong and offering recommendations for streamlining, automation and improvement of that process.   Liaising with the Manager of Knowledge Engineering to allocate APAC knowledge engineering work within the team. Supporting client presentations and proposals, including providing text into bid documents and where appropriate providing demos on the ground, getting support from the UK team as necessary Demo the firms' existing use of client extranets e.g. DealHub and be in a position to spot situations where client extranets may be applicable. Create extranet sites on the firm's extranet systems. Train internal users and clients in how to use the SmartDelivery Systems (Precedents Express, Matter Management and extranets) including ensuring that best practice for administering those systems is followed. ",The successful candidate will be a sufficiently senior knowledge engineer to be able to make an impact with regard to SmartDelivery. Self starter and able to operate in a situation limited or no support. Self sufficient in Contract Express and Matter Management and have some experience of process mapping. Areas of expertise include:  Document automation Business process modelling Workflow development People management XML transformation Project management ,"$9,000 - $11,000"
SINGAPORE MANAGEMENT UNIVERSITY,"Instructor (5-year contract), School of Information System"," COMPANY DESCRIPTION  Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The ''family-like'' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.  RESPONSIBILITIES    Support one or more IS core curriculum courses which includes:    Design of course content including the assignments and labs. Out-of-class support for technology assignments and projects, labs and course-related subject matter. Support for in-class delivery of labs. There are 35 to 55 students in one section and each instructor is assigned 8 sections. Some of the sections includes:      Deliver enrichment workshops to undergraduate students to strengthen or supplement IT skills. Develop e-learning materials. Redesign and improve on the curriculum for the next semester with faculty. Liaise with industry companies for IS Application projects. Manage SIS events. Provide guidance to students working on an internship or IS Application Project. Handle a''special project'' related to his/her specialization.    ", Degree in IT (CS/IS/Engineering). IT-related Masters is a plus. Strong industry-based software technology skills and experiences. Prior experience with large-scale application projects in a business setting. ,None
ADVANEX (SINGAPORE) PTE. LTD.,Finance Officer, 1) Handling daily accounts payable or accounts receivable.  2) Perform Monthly Account Reconcilation  3) Generate monthly management account  4) Any other duties to be assigned   , 1) Diploma in accountancy  2) Microsoft office skills,"$2,000 - $2,500"
JOBFITTER LLP,E & I Technician (Pharmaceutical Industry),"Responsibilities: E & I Technician:  Perform instrument calibration, installations and commission, maintenance, repair and testing activities within the scheduled time Recondition and replace old instruments with frequent breakdowns Perform functional check for new instruments and complete maintenance/inspection logs, work orders and other related paperwork. Ensure that work is performed efficiently and safely in accordance with laid down standards, practices, methods and safety codes. Provides information during commissioning, preparation of planned maintenance programmes and ensures proper implementation of relevant parts. Compiles and submits technical work and breakdown reports as and when required. Troubleshoot to resolve electrical and instrument problems, repair, calibration and performs technical completion of non-GMP maintenance work order; initiate follow up work order and discrepancy notification as necessary. Any other ad-hoc assignments.   ",Requirements:  Able to work in the west Experience in the pharmaceutical industry is preferred Ability to start work immediately will be added advantage  Interested candidates are invited to email detailed resume to us and contact 66598277 for more details.,None
ZENSHO FOOD SINGAPORE PTE. LTD.,Japanese Restaurant Kitchen Crew Full Time," Responsible for cooking and food preparation in a timely manner and according to the established Standard Operating Procedure (SOP) Ensure compliance to food safety, highest quality of food and hygiene standards at all times Ensuring that the kitchen is up to safety and cleanliness standard Cleaning of food preparation areas and kitchen equipment. Undertake ad hoc duties assigned by supervisors "," Able to work in a fast paced environment Relevant experience in Japanese Cuisine will be an added advantage Self-motivated, discipline with good interpersonal and organizational skills Possess basic command of English for communication Willing to work shifts, weekends and public holidays Able to start work immediately or with short notice period ","$1,800 - $2,400"
A*STAR RESEARCH ENTITIES,IMCB - Postdoctoral Fellow (SYN),"About the Institute of Molecular and Cell Biology (IMCB)  The Institute of Molecular and Cell Biology (IMCB) is a leading research institute in biological sciences funded by the Agency for Science, Technology and Research (A*STAR). Its mission is to develop and foster a vibrant research culture for cutting-edge basic biomedical sciences. IMCB’s research activities focus on the areas of Animal Models of Development and Disease, Cancer Genetics and Therapeutics, Cell Biology in Health and Disease, and Structural Biology and Drug Discovery. IMCB is continuously looking out for talented people to contribute to its success. We are now inviting suitable candidates to apply for the following position:   Postdoctoral Fellow The Neurotherapeutics Lab invite applications for a highly motivated Postdoctoral Fellow with a strong interest in understanding human neurodegeneration using induced pluripotent stem cell and organoid models. The successful candidate will be working under the supervision of Shi-Yan Ng, Ph.D in the Institute of Molecular and Cell Biology. Qualified postdoc candidates must have a doctoral degree from a reputable university, with strong background in one or more of the following areas: stem cell biology, neuroscience, molecular biology and cell biology. Prior experience with differentiation of human pluripotent stem cells or electrophysiology knowledge is highly desirable. The postdoctoral fellow is expected to have critical thinking abilities, strong work ethics, excellent technical skills, and good organization and communication skills.        "," Doctoral degree from reputable university. Expertise in at least one of the following: stem cell biology, neuroscience, molecular biology and cell biology. Experience with pluripotent stem cell culture and/or electrophysiology would be highly desirable, although not necessary. Must possess strong organizational, communication and critical thinking skills. Must work well in a team. Must be highly motivated and independent.  We welcome interested applicants to submit a full CV including a list of publications, a cover letter addressing the above criteria, and contact details of two referees. The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","$4,500 - $9,000"
MOTT MACDONALD SINGAPORE PTE LIMITED,Senior Risk Manager,"The advisory and programme delivery division delivers services to projects ranging in scale and complexity, through the technical disciplines of programme management, project management, project controls, risk management, scheduling, cost management, estimating, infrastructure finance, management consulting, digital consulting, education and healthcare management.  We are an equal opportunity employer and value diversity at our company. We do not discriminate, and take positive steps to create an inclusive culture.  As a result of our continuing success, we have an opportunity for an experienced Risk Manager within our Advisory SEA Division of Singapore. Our project team is looking for a Risk Manager to undertake risk management for a large infrastructure project.","The Senior Risk Manager is responsible for the implementation of methods, tools, processes and governance rules for Risk and Opportunities identification, assessment, prioritization, and management planning, as well as Risk and Opportunities reporting and analysis, including response planning, monitoring, and controlling.  Key duties of the role include but are not limited to:   Develop and implement risk management procedures Leading teams to assist risk management procedures Facilitate Risk Workshops and reviews Attend project meetings and capture risks at all stages of the projects Develop, manage and maintain risk registers for projects Support training to the team to participate in risk activities Development and monitoring of Client risk and opportunity capabilities Maintenance of the Risk Register with regular assessments and monitoring control actions Facilitate the escalation of information on risks to the appropriate levels Support the knowledge sharing of risks and opportunities across the projects ensuring that lessons are learnt Management of Risk Software Database (advantageous) The Risk Manager should have the following experience: 	  Degree qualified in engineering discipline, risk management or other logical discipline Formal training and qualification in risk management Professional status held with accredited body Attained or working towards a Project Management qualification (e.g. Prince2, IRM, APMP, CPM) Ability to use quantitative risk analysis tools for cost and schedule risk analysis (e.g. @Risk, Primavera Risk Analysis); Ability to communicate risk management approaches, modelling results and mitigation actions; Ability to build and manage working relationships both internally to the Client and externally with all international stakeholders; Formal risk management education or active membership of risk or project management professional institutions; Experience in planning and leading the facilitation of project and programme risk workshops in regulated industries; Experience of planning and delivering quantitative risk analysis for multiple projects worth in the £100s of millions or more. Microsoft Office packages and risk management software such as ARM, Predict! Or Primavera Risk Analysis (Pertmaster) Exposure to the provision and interpretation of Quantitative Cost and Schedule Risk Analysis on complex programmes is desirable ","$15,000 - $16,000"
SARIKA CONNOISSEUR CAFE PTE LTD,Admin. Assistant ( Reception),"                                   S A R I K A * F & B GROUP Vacancy :              Admin Assistant  / Reception                                       (  5 Day Week   ) ------------------------------------------------------------------------------------------------------------ Work Location : EAST ( Tai Seng MRT ) Key Duties : * Monitor and ensure all operating licences are continually up to date ( renewal ). * ALL office operating equipment and computer system are always functioning. * Adequate stock of all important stationery are available .  *** QUALIFICATIONS : Minimum 1 year Office Administration experience ( office staff strength - 60)  ,  preferably  from a  F&B industry  company.  A result-oriented and proactive team player, with strong interpersonal skill 5 day week. 9am to 6pm . Singaporeans encouraged to apply( preference given to candidate who can start on short notice ) No quota for work pass . nb: only shorltisted applicants will be notified Interested Applicants should email their  full resumes   complete  with  : -  Mobile and email details -  include a recent foto  -  attach a recent pay slip  (  current  or last  full time    company )  -  State expected salary  ***** Job Type: Full-time Salary: $1,800.00 to $2,000.00 /month SARIKA CONNOISSEUR CAFE PTE LTD Vacancy : ADMIN. ASSISTANT  Location: E A S T ( Tai seng MRT station )  General Duties * Answering daily phone calls . * Data Entry ( well versed in EXcel ) * Check Restaurant's Request Worksheets. * Update / records staff leaves, medical leaves and etc * Prepare Stock Count List.  Qualifications * Min. Nitec Cert . * Min 1 yr Admin. experience . * Proficient in MS Office applications * Attentive to details * Good communication & interpersonal skills. Team Player  Applicants with F & B knowledge / background will be advantageous . 5.5 days week alternate Saturday off  [ 9.00 to 6.30pm / Sat 9-1pm  ]   Interested candidates can TXT 9764 2262  or walk in interview at No. 1 IRVING RD , Mon - Fri 10.00am to 5.00pm( next to Tai Seng Circle Line )   SINGAPOREANS ONLY",It MS Office skills  Telephony courtesy  Customer service orienbted,"$1,750 - $2,000"
WEALTH EMPLOYMENT PRIVATE LIMITED,Assistant Merchandiser," Review and understand the technical worksheets and standard requirement of the assigned brand/ customer.  Input information from technical worksheets and create data file. Arrange or purchase all material, trims/ accessories for sampling (proto, fit, advertising, salesman, sealing, pre-production and top of production samples etc). Assist in the development of fabric, lab-dips, trims/accessories, prints, embroidery etc for submission and ensure getting approval before buy ready or according to schedule for production. Check on fabric, accessories & packing material prices to prepare for sample order usage. Follow up on samples delivery to ensure submission on-time. Prepare fabric and trim cards for sample room and production factory. Submit all embellishment and Development samples to washing lab for testing. Prepare salesman samples packing list for shipping department to apply shipping documents if needed. Ensure all final templates for bulk use are sent to the respective departments within the required time-frame. The above pt 1 – 9 need not be necessarily the JD of Merchandiser. Subject to the assigned brand/customer.  Perform other duties which may be assigned by superior from time to time. "," Min GCE O level or equivalent Good in Microsoft Excel Team player and meticulous, good communication and time management skills ","$1,800 - $1,900"
JOBFITTER LLP,Formulation / Filling & Packing (Operator / Maintenance Technician),"Responsibilities: • Be responsible for the operation and daily maintenance of packing equipment, line support etc. • Ensure proper operations of equipment, equipment set-ups and make adjustments. • Operate filling and packaging production unit of regulated pharmaceutical products • Perform outgoing inspection per work order requirement • Monitor key line parameters • In-processing Testing support and line clearances • Record information on log book to ensure compliance • Perform troubleshooting when malfunctions occur and report issues accordingly. • Follow plant safety guidelines. • Perform weekly and monthly preventive maintenance schedules",Requirements: • Ability to start work immediately would be added advantage • Must possessed experience in the pharmaceutical industry Interested candidates are invited to email detailed resume to us or contact 66598277 for details.,None
